time,WOPR:I1,WOPR:I2,WOPR:I3,WOPR:I4,WOPR:I5,WOPR:I6,WOPR:P1,WOPR:P3,WOPR:P4,WOPR:P5,WOPR:P6,WOPR:PS1,WOPR:PS2,WWPR:I1,WWPR:I2,WWPR:I3,WWPR:I4,WWPR:I5,WWPR:I6,WWPR:P1,WWPR:P3,WWPR:P4,WWPR:P5,WWPR:P6,WWPR:PS1,WWPR:PS2,WLPR:I1,WLPR:I2,WLPR:I3,WLPR:I4,WLPR:I5,WLPR:I6,WLPR:P1,WLPR:P3,WLPR:P4,WLPR:P5,WLPR:P6,WLPR:PS1,WLPR:PS2,WGPR:I1,WGPR:I2,WGPR:I3,WGPR:I4,WGPR:I5,WGPR:I6,WGPR:P1,WGPR:P3,WGPR:P4,WGPR:P5,WGPR:P6,WGPR:PS1,WGPR:PS2,WWIR:I1,WWIR:I2,WWIR:I3,WWIR:I4,WWIR:I5,WWIR:I6,WWIR:P1,WWIR:P3,WWIR:P4,WWIR:P5,WWIR:P6,WWIR:PS1,WWIR:PS2,WGOR:I1,WGOR:I2,WGOR:I3,WGOR:I4,WGOR:I5,WGOR:I6,WGOR:P1,WGOR:P3,WGOR:P4,WGOR:P5,WGOR:P6,WGOR:PS1,WGOR:PS2,WBHP:I1,WBHP:I2,WBHP:I3,WBHP:I4,WBHP:I5,WBHP:I6,WBHP:P1,WBHP:P3,WBHP:P4,WBHP:P5,WBHP:P6,WBHP:PS1,WBHP:PS2,WOPT:I1,WOPT:I2,WOPT:I3,WOPT:I4,WOPT:I5,WOPT:I6,WOPT:P1,WOPT:P3,WOPT:P4,WOPT:P5,WOPT:P6,WOPT:PS1,WOPT:PS2,WWPT:I1,WWPT:I2,WWPT:I3,WWPT:I4,WWPT:I5,WWPT:I6,WWPT:P1,WWPT:P3,WWPT:P4,WWPT:P5,WWPT:P6,WWPT:PS1,WWPT:PS2,WLPT:I1,WLPT:I2,WLPT:I3,WLPT:I4,WLPT:I5,WLPT:I6,WLPT:P1,WLPT:P3,WLPT:P4,WLPT:P5,WLPT:P6,WLPT:PS1,WLPT:PS2,WGPT:I1,WGPT:I2,WGPT:I3,WGPT:I4,WGPT:I5,WGPT:I6,WGPT:P1,WGPT:P3,WGPT:P4,WGPT:P5,WGPT:P6,WGPT:PS1,WGPT:PS2,WWIT:I1,WWIT:I2,WWIT:I3,WWIT:I4,WWIT:I5,WWIT:I6,WWIT:P1,WWIT:P3,WWIT:P4,WWIT:P5,WWIT:P6,WWIT:PS1,WWIT:PS2,FOPT,FWPT,FLPT,FGPT,FWIT
1982-10-20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,200.0,60.0,200.0,200.0,200.0,159.998535156,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.92453930396e-12,2.94120894306e-10,1.7300424331e-12,1.7300424331e-12,1.7300424331e-12,0.00146292150021,2.16255290585e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,200.0,60.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,45239.4335938,13571.8300781,45239.4335938,45239.4335938,45239.4335938,36191.2148438,36191.546875,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,360.8671875,362.055908203,360.831726074,360.841278076,361.331237793,361.331176758,189.760848999,245.645172119,266.728363037,266.699188232,266.692474365,294.960662842,277.027374268,0.0,0.0,0.0,0.0,0.0,0.0,200.0,60.0,200.0,200.0,200.0,159.998535156,160.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92453930396e-12,2.94120894306e-10,1.7300424331e-12,1.7300424331e-12,1.7300424331e-12,0.00146292150021,2.16255290585e-12,0.0,0.0,0.0,0.0,0.0,0.0,200.0,60.0,200.0,200.0,200.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,45239.4335938,13571.8300781,45239.4335938,45239.4335938,45239.4335938,36191.2148438,36191.546875,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.99853516,0.00146292184945,1180.0,266912.3125,2400.0
1982-10-23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,200.0,60.0,200.0,200.0,200.0,159.998306274,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.99776745476e-20,2.03655109359e-17,3.59374691731e-20,3.59374691731e-20,3.59374691731e-20,0.00169183069374,5.61522899285e-20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,200.0,60.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,45239.4335938,13571.8300781,45239.4335938,45239.4335938,45239.4335938,36191.1640625,36191.546875,381.240234375,363.178894043,383.108734131,382.90802002,374.955963135,374.817474365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,226.197158813,400.0,400.0,400.0,400.0,400.0,400.0,184.278625488,243.860229492,260.959747314,260.879882812,260.831573486,291.090118408,271.918670654,0.0,0.0,0.0,0.0,0.0,0.0,800.0,240.0,800.0,800.0,800.0,639.993469238,640.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.00653841346502,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,800.0,240.0,800.0,800.0,800.0,640.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,180957.734375,54287.3203125,180957.734375,180957.734375,180957.734375,144764.703125,144766.1875,1543.72070312,1489.53674316,1549.32617188,1548.72399902,1524.86791992,1524.45239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4719.99365234,0.00653841393068,4720.0,1067649.125,9180.62792969
1982-10-28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,199.190307617,60.0,200.0,200.0,200.0,159.998184204,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.98263835926e-28,8.46088918198e-25,4.47908664193e-28,4.47908664193e-28,4.47908664193e-28,0.00181687052827,8.74821610504e-28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,199.190307617,60.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,45056.28125,13571.8300781,45230.1132812,45230.5390625,45229.8828125,36191.1328125,36191.546875,180.505996704,167.763870239,182.646102905,181.954620361,176.629394531,176.324691772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.197158813,226.197158813,226.15057373,226.152694702,226.149414062,226.197158813,226.197158813,400.0,400.0,400.0,400.0,400.0,400.0,180.0,242.876144409,254.512496948,254.370010376,254.290512085,288.927368164,267.869506836,0.0,0.0,0.0,0.0,0.0,0.0,1795.95153809,540.0,1800.0,1800.0,1800.0,1439.984375,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.0156227666885,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,1795.95153809,540.0,1800.0,1800.0,1800.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,406239.125,122146.46875,407108.3125,407110.40625,407107.15625,325720.375,325723.90625,2446.25073242,2328.35595703,2462.55664062,2458.49707031,2408.01489258,2406.07592773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10615.9355469,0.0156227666885,10615.9511719,2401155.75,14509.7509766
1982-11-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.510025024,60.0,200.0,200.0,200.0,159.998123169,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.23538266377e-36,3.51509251221e-32,5.58367995739e-36,5.5836279412e-36,5.58370829725e-36,0.00188066484407,1.36292356733e-35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.510025024,60.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43771.4179688,13571.8300781,45213.8125,45214.171875,45213.265625,36191.1210938,36187.0234375,106.831367493,95.7640762329,108.368690491,107.486083984,103.614227295,103.209877014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.197158813,226.197158813,226.069061279,226.070861816,226.066329956,226.197158813,226.168884277,400.0,400.0,400.0,400.0,400.0,400.0,180.0,242.23550415,251.402801514,251.188735962,251.141479492,287.784912109,265.604919434,0.0,0.0,0.0,0.0,0.0,0.0,2763.50170898,840.0,2800.0,2800.0,2800.0,2239.97485352,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.0250260904431,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,2763.50170898,840.0,2800.0,2800.0,2800.0,2240.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,625096.25,190005.609375,633177.375,633181.3125,633173.5,506675.96875,506659.03125,2980.4074707,2807.17651367,3004.40014648,2995.92749023,2926.0859375,2922.12524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16483.4765625,0.0250260904431,16483.5019531,3727969.0,17636.1230469
1982-11-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,182.794921875,60.0,200.0,200.0,200.0,159.998046875,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.80259692865e-44,5.21554880631e-40,2.52233723578e-44,2.52233723578e-44,2.52233723578e-44,0.00195670966059,7.56701170735e-44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,182.794921875,60.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,41347.6914062,13571.8300781,45186.9414062,45186.3203125,45185.4257812,36191.1015625,36180.1523438,57.4868507385,51.9470787048,59.2726554871,58.2424812317,56.0791625977,55.5954933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.197158813,226.197158813,225.934707642,225.931594849,225.927124023,226.197158813,226.125961304,400.0,400.0,400.0,400.0,400.0,400.0,180.0,240.775314331,246.195602417,245.748062134,245.68347168,286.287994385,263.569793701,0.0,0.0,0.0,0.0,0.0,0.0,5322.63037109,1680.0,5600.0,5600.0,5600.0,4479.94775391,4480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.052420027554,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,5322.63037109,1680.0,5600.0,5600.0,5600.0,4480.0,4480.0,0.0,0.0,0.0,0.0,0.0,0.0,1203963.875,380011.21875,1265794.5,1265789.75,1265769.375,1013351.4375,1013181.1875,3785.22338867,3534.43554688,3834.21728516,3811.32226562,3711.19433594,3700.4621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32762.578125,0.052420027554,32762.6308594,7407861.5,22376.8554688
1982-11-30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,147.804992676,70.0,200.0,200.0,200.0,159.998062134,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00193201215006,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,147.804992676,70.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,33421.8867188,15833.8007812,45316.1015625,45352.421875,45352.0664062,36191.109375,36163.3671875,36.5819587708,32.9723548889,37.7213554382,34.2751426697,36.8642234802,33.8568534851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.121505737,226.197158813,226.580505371,226.762115479,226.7603302,226.197158813,226.02104187,400.0,400.0,400.0,400.0,400.0,400.0,170.0,216.171569824,242.333297729,234.663513184,238.112136841,281.884002686,253.386901855,0.0,0.0,0.0,0.0,0.0,0.0,7391.90039062,2660.0,8400.0,8400.0,8400.0,6719.92041016,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.0794681981206,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,7391.90039062,2660.0,8400.0,8400.0,8400.0,6720.0,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,1671870.375,601684.4375,1900220.0,1900723.625,1900698.375,1520027.0,1519468.25,4297.37060547,3996.04858398,4362.31640625,4291.17431641,4227.29345703,4174.45800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48691.8203125,0.0794681981206,48691.9023438,11014692.0,25348.6621094
1982-12-14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,121.297142029,70.0,200.0,200.0,200.0,159.998016357,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00198185094632,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,121.297142029,70.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27416.6191406,15833.8007812,45464.3203125,45548.9921875,45528.1210938,36191.0976562,36170.5,27.2580871582,25.1421337128,28.4907455444,26.2509403229,27.4176330566,25.6845664978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.028579712,226.197158813,227.321609497,227.7449646,227.640609741,226.197158813,226.065628052,400.0,400.0,400.0,400.0,400.0,400.0,170.0,214.741424561,239.254959106,231.445968628,234.912139893,280.70223999,251.680328369,0.0,0.0,0.0,0.0,0.0,0.0,9090.06054688,3640.0,11200.0,11200.0,11200.0,8959.89257812,8960.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.107214108109,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,9090.06054688,3640.0,11200.0,11200.0,11200.0,8960.0,8960.0,0.0,0.0,0.0,0.0,0.0,0.0,2055703.0,823357.6875,2536720.5,2538409.5,2538092.0,2026702.25,2025855.25,4678.98388672,4348.03857422,4761.18652344,4658.6875,4611.14013672,4534.04199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64249.953125,0.107214108109,64250.0585938,14544840.0,27592.078125
1982-12-28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,99.5741653442,75.0,200.0,200.0,200.0,159.998016357,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00198825309053,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,99.5741653442,75.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22502.7714844,16964.7871094,45673.6484375,45823.71875,45708.3710938,36191.0976562,36243.9765625,20.9513015747,19.5757904053,21.9483222961,20.4873161316,21.134054184,20.1550483704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.990066528,226.197158813,228.368240356,229.118591309,228.541854858,226.197158813,226.524841309,400.0,400.0,400.0,400.0,400.0,400.0,174.0,200.624176025,229.429290771,217.944473267,228.611450195,277.984893799,247.13609314,0.0,0.0,0.0,0.0,0.0,0.0,10484.0986328,4690.0,14000.0,14000.0,14000.0,11199.8652344,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.135049656034,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,10484.0986328,4690.0,14000.0,14000.0,14000.0,11200.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,2370741.75,1060864.625,3176151.5,3179941.5,3178009.25,2533377.75,2533271.0,4972.30224609,4622.09960938,5068.46337891,4945.50976562,4907.01708984,4816.21289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79573.9609375,0.135049656034,79574.1015625,18032358.0,29331.6054688
1983-01-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,83.8539657593,75.0,200.0,200.0,200.0,159.997970581,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00203389348462,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,83.8539657593,75.0,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18921.0644531,16964.7871094,45791.234375,45980.3671875,45820.3632812,36191.0859375,36302.0898438,16.4826469421,15.6687192917,17.6358680725,16.4555873871,16.7637958527,16.1624221802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.643051147,226.197158813,228.956176758,229.901824951,229.101821899,226.197158813,226.888076782,400.0,400.0,400.0,400.0,400.0,400.0,174.0,199.191390991,227.008346558,215.46333313,226.192718506,276.823425293,245.427124023,0.0,0.0,0.0,0.0,0.0,0.0,11658.0546875,5740.0,16800.0,16800.0,16800.0,13439.8369141,13440.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.16352416575,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,11658.0546875,5740.0,16800.0,16800.0,16800.0,13440.0,13440.0,0.0,0.0,0.0,0.0,0.0,0.0,2635636.75,1298371.75,3817228.75,3823666.75,3819494.25,3040052.75,3041500.25,5203.05908203,4841.46142578,5315.36523438,5175.88818359,5141.70996094,5042.48681641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94677.890625,0.16352416575,94678.0546875,21475952.0,30719.9707031
1983-01-25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.5567398071,74.573348999,200.0,200.0,200.0,159.997924805,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00207905145362,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.5567398071,74.573348999,200.0,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16127.0166016,16868.2792969,45916.9960938,46450.46875,46199.609375,36191.0742188,36429.8710938,14.1218128204,13.3994750977,17.6868305206,14.0138397217,13.3883514404,13.1005182266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.373840332,226.197158813,229.584976196,232.252349854,230.998046875,226.197158813,227.686706543,400.0,400.0,400.0,400.0,400.0,400.0,164.0,170.0,224.844604492,204.418304443,216.079345703,275.667663574,235.07762146,0.0,0.0,0.0,0.0,0.0,0.0,12659.8486328,6784.02685547,19600.0,19600.0,19600.0,15679.8076172,15680.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.192630887032,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,12659.8486328,6784.02685547,19600.0,19600.0,19600.0,15680.0,15680.0,0.0,0.0,0.0,0.0,0.0,0.0,2861415.0,1534527.625,4460066.5,4473973.5,4466289.0,3546728.0,3551518.5,5400.76464844,5029.05419922,5562.98095703,5372.08203125,5329.14697266,5225.89404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109603.679688,0.192630887032,109603.875,24894518.0,31919.921875
1983-02-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65.5029830933,73.8603210449,200.001556396,200.0,200.0,159.997879028,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00212384178303,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65.5029830933,73.8603210449,200.001556396,200.0,200.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14727.7724609,16706.9941406,46176.8789062,47018.5,46691.6445312,36190.890625,36496.3632812,11.7276191711,10.873922348,13.869436264,11.9946489334,11.0374794006,10.8635559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.8412323,226.197158813,230.882614136,235.092498779,233.458221436,226.196075439,228.102264404,400.0,400.0,400.0,400.0,400.0,400.0,164.0,170.0,219.418518066,194.073120117,206.854125977,274.517059326,233.265228271,0.0,0.0,0.0,0.0,0.0,0.0,13576.890625,7818.07128906,22400.0214844,22400.0,22400.0,17919.7773438,17920.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245395208e-12,2.94120949818e-10,1.73004254152e-12,1.73004254152e-12,1.73004254152e-12,0.222364664078,2.16255312269e-12,0.0,0.0,0.0,0.0,0.0,0.0,13576.890625,7818.07128906,22400.0214844,22400.0,22400.0,17920.0,17920.0,0.0,0.0,0.0,0.0,0.0,0.0,3067603.75,1768425.5,5106543.0,5132232.5,5119972.0,4053400.5,4062467.5,5564.95117188,5181.2890625,5757.15332031,5540.00683594,5483.671875,5377.98388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124434.757812,0.222364664078,124434.984375,28310644.0,32905.0546875
