time,WOPR:I1,WOPR:I2,WOPR:I3,WOPR:I4,WOPR:I5,WOPR:I6,WOPR:P1,WOPR:P3,WOPR:P4,WOPR:P5,WOPR:P6,WOPR:P121,WOPR:PS1,WOPR:PS2,WOPR:PSF22,WWPR:I1,WWPR:I2,WWPR:I3,WWPR:I4,WWPR:I5,WWPR:I6,WWPR:P1,WWPR:P3,WWPR:P4,WWPR:P5,WWPR:P6,WWPR:P121,WWPR:PS1,WWPR:PS2,WWPR:PSF22,WLPR:I1,WLPR:I2,WLPR:I3,WLPR:I4,WLPR:I5,WLPR:I6,WLPR:P1,WLPR:P3,WLPR:P4,WLPR:P5,WLPR:P6,WLPR:P121,WLPR:PS1,WLPR:PS2,WLPR:PSF22,WGPR:I1,WGPR:I2,WGPR:I3,WGPR:I4,WGPR:I5,WGPR:I6,WGPR:P1,WGPR:P3,WGPR:P4,WGPR:P5,WGPR:P6,WGPR:P121,WGPR:PS1,WGPR:PS2,WGPR:PSF22,WWIR:I1,WWIR:I2,WWIR:I3,WWIR:I4,WWIR:I5,WWIR:I6,WWIR:P1,WWIR:P3,WWIR:P4,WWIR:P5,WWIR:P6,WWIR:P121,WWIR:PS1,WWIR:PS2,WWIR:PSF22,WGOR:I1,WGOR:I2,WGOR:I3,WGOR:I4,WGOR:I5,WGOR:I6,WGOR:P1,WGOR:P3,WGOR:P4,WGOR:P5,WGOR:P6,WGOR:P121,WGOR:PS1,WGOR:PS2,WGOR:PSF22,WBHP:I1,WBHP:I2,WBHP:I3,WBHP:I4,WBHP:I5,WBHP:I6,WBHP:P1,WBHP:P3,WBHP:P4,WBHP:P5,WBHP:P6,WBHP:P121,WBHP:PS1,WBHP:PS2,WBHP:PSF22,WOPT:I1,WOPT:I2,WOPT:I3,WOPT:I4,WOPT:I5,WOPT:I6,WOPT:P1,WOPT:P3,WOPT:P4,WOPT:P5,WOPT:P6,WOPT:P121,WOPT:PS1,WOPT:PS2,WOPT:PSF22,WWPT:I1,WWPT:I2,WWPT:I3,WWPT:I4,WWPT:I5,WWPT:I6,WWPT:P1,WWPT:P3,WWPT:P4,WWPT:P5,WWPT:P6,WWPT:P121,WWPT:PS1,WWPT:PS2,WWPT:PSF22,WLPT:I1,WLPT:I2,WLPT:I3,WLPT:I4,WLPT:I5,WLPT:I6,WLPT:P1,WLPT:P3,WLPT:P4,WLPT:P5,WLPT:P6,WLPT:P121,WLPT:PS1,WLPT:PS2,WLPT:PSF22,WGPT:I1,WGPT:I2,WGPT:I3,WGPT:I4,WGPT:I5,WGPT:I6,WGPT:P1,WGPT:P3,WGPT:P4,WGPT:P5,WGPT:P6,WGPT:P121,WGPT:PS1,WGPT:PS2,WGPT:PSF22,WWIT:I1,WWIT:I2,WWIT:I3,WWIT:I4,WWIT:I5,WWIT:I6,WWIT:P1,WWIT:P3,WWIT:P4,WWIT:P5,WWIT:P6,WWIT:P121,WWIT:PS1,WWIT:PS2,WWIT:PSF22,FOPT,FWPT,FLPT,FGPT,FWIT
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,194.15090942382812,82.83045959472656,200.0,200.0,200.0,0.0,159.998779296875,160.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.082581277018107e-08,9.617068030820519e-08,1.719158561168388e-12,1.719158561168388e-12,1.719158561168388e-12,0.0,0.0012188875116407871,2.1489483369857565e-12,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,194.15090942382812,82.83045959472656,200.0,200.0,200.0,0.0,160.0,160.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43916.3828125,18736.013671875,45239.43359375,45239.43359375,45239.43359375,0.0,36191.26953125,36191.546875,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,0.0,349.5333557128906,347.68060302734375,343.0231018066406,356.33477783203125,349.6755676269531,354.112548828125,164.0,170.0,262.82965087890625,250.49432373046875,259.7468566894531,0.0,294.7042236328125,261.52069091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.15090942382812,82.83045959472656,200.0,200.0,200.0,0.0,159.998779296875,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.082581277018107e-08,9.617068030820519e-08,1.719158561168388e-12,1.719158561168388e-12,1.719158561168388e-12,0.0,0.0012188875116407871,2.1489483369857565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.15090942382812,82.83045959472656,200.0,200.0,200.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43916.3828125,18736.013671875,45239.43359375,45239.43359375,45239.43359375,0.0,36191.26953125,36191.546875,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.9801025390625,0.0012190545676276088,1196.9813232421875,270753.5,2400.0
2020-01-03 14:13:26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.36111450195312,82.58731079101562,200.0,200.0,200.0,0.0,159.99876403808594,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4762014527436307e-11,4.162049868704047e-14,1.8076620910426251e-19,1.8076620910426251e-19,1.8076620910426251e-19,0.0,0.0012429282069206238,2.8244720495658444e-19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.36111450195312,82.58731079101562,200.0,200.0,200.0,0.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43737.734375,18681.015625,45239.43359375,45239.43359375,45239.43359375,0.0,36191.265625,36191.546875,-0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,0.0,353.4215087890625,351.5911560058594,346.2647399902344,361.0673522949219,353.65960693359375,358.5940856933594,164.0,170.0,262.33984375,250.0007781982422,259.2552795410156,0.0,294.2074890136719,260.9190979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.7496337890625,131.7772216796875,318.5333557128906,318.5333557128906,318.5333557128906,0.0,254.82473754882812,254.82669067382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083455955125828e-08,9.617070162448726e-08,1.7191586695886052e-12,1.7191586695886052e-12,1.7191586695886052e-12,0.0,0.001955529907718301,2.1489483369857565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.7496337890625,131.7772216796875,318.5333557128906,318.5333557128906,318.5333557128906,0.0,254.82669067382812,254.82669067382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69838.2890625,29807.6328125,72051.34375,72051.34375,72051.34375,0.0,57640.6328125,57641.07421875,0.0,637.0667114257812,637.0667114257812,637.0667114257812,637.0667114257812,637.0667114257812,637.0667114257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905.7783203125,0.0019556968472898006,1905.7802734375,431081.65625,3822.400390625
2020-01-04 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.26193237304688,82.5291748046875,200.0,200.0,200.0,0.0,159.99874877929688,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9891543062307678e-18,1.6558968406768203e-20,2.765536484378127e-26,2.765536484378127e-26,2.765536484378127e-26,0.0,0.0012524491176009178,5.401438470125154e-26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.26193237304688,82.5291748046875,200.0,200.0,200.0,0.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43715.30078125,18667.865234375,45239.43359375,45239.43359375,45239.43359375,0.0,36191.26171875,36191.546875,-0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,0.0,356.3961486816406,354.5313415527344,348.65191650390625,364.7521667480469,356.69281005859375,362.0597839355469,164.0,170.0,262.2665710449219,249.92861938476562,259.1827087402344,0.0,294.0105895996094,260.7137145996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.47161865234375,165.3940887451172,400.0,400.0,400.0,0.0,319.9975280761719,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083455955125828e-08,9.617070162448726e-08,1.7191586695886052e-12,1.7191586695886052e-12,1.7191586695886052e-12,0.0,0.0024656939785927534,2.1489483369857565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.47161865234375,165.3940887451172,400.0,400.0,400.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87644.9765625,37411.671875,90478.8671875,90478.8671875,90478.8671875,0.0,72382.53125,72383.09375,0.0,800.0,800.0,800.0,800.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.86328125,0.0024658609181642532,2392.86572265625,541258.875,4800.0
2020-01-05 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.3395538330078,82.46382904052734,200.0,200.0,200.0,0.0,159.9987335205078,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.9748827120537674e-21,4.1657190621615376e-27,1.723420920415357e-33,1.723420920415357e-33,1.723420920415357e-33,0.0,0.001265814295038581,4.20757035680505e-33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.3395538330078,82.46382904052734,200.0,200.0,200.0,0.0,160.0,160.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43732.85546875,18653.083984375,45239.43359375,45239.43359375,45239.43359375,0.0,36191.2578125,36191.546875,-0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,0.0,365.9685363769531,363.68707275390625,356.09906005859375,376.602294921875,366.3355712890625,373.1702575683594,164.0,170.0,262.31341552734375,249.97592163085938,259.23028564453125,0.0,293.7294616699219,260.4349365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.8111572265625,247.85792541503906,600.0,600.0,600.0,0.0,479.99627685546875,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083455955125828e-08,9.617070162448726e-08,1.7191586695886052e-12,1.7191586695886052e-12,1.7191586695886052e-12,0.0,0.0037315082736313343,2.1489483369857565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.8111572265625,247.85792541503906,600.0,600.0,600.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131377.828125,56064.7578125,135718.296875,135718.296875,135718.296875,0.0,108573.7890625,108574.640625,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.665283203125,0.003731675213202834,3588.669189453125,811745.9375,7200.0
2020-01-06 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.45046997070312,82.41999816894531,200.0,200.0,200.0,0.0,159.99871826171875,160.0,944.0838012695312,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.207038080387966e-28,6.296053353824754e-34,1.0739971820124695e-40,1.0739971820124695e-40,1.0739971820124695e-40,0.0,0.0012748177396133542,3.277581056117174e-40,0.003184165805578232,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.45046997070312,82.41999816894531,200.0,200.0,200.0,0.0,160.0,160.0,944.0869750976562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43757.94921875,18643.169921875,45239.43359375,45239.43359375,45239.43359375,0.0,36191.2578125,36191.546875,213549.0625,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,226.19715881347656,382.3037414550781,378.9314880371094,368.60491943359375,396.82073974609375,382.6377868652344,392.04327392578125,164.0,170.0,262.3146667480469,250.0662384033203,259.3211364746094,0.0,293.5367431640625,260.246337890625,200.0,0.0,0.0,0.0,0.0,0.0,0.0,774.2616577148438,330.2779235839844,800.0,800.0,800.0,0.0,639.9949951171875,640.0,944.0838012695312,0.0,0.0,0.0,0.0,0.0,0.0,7.083455955125828e-08,9.617070162448726e-08,1.7191586695886052e-12,1.7191586695886052e-12,1.7191586695886052e-12,0.0,0.005006325896829367,2.1489483369857565e-12,0.003184165805578232,0.0,0.0,0.0,0.0,0.0,0.0,774.2616577148438,330.2779235839844,800.0,800.0,800.0,0.0,640.0,640.0,944.0869750976562,0.0,0.0,0.0,0.0,0.0,0.0,175135.78125,74707.9296875,180957.734375,180957.734375,180957.734375,0.0,144765.046875,144766.1875,213549.0625,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.6181640625,0.008190658874809742,5728.62646484375,1295797.25,9600.0
2020-01-07 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.55145263671875,82.38448333740234,-0.0,200.0,200.0,0.0,159.99871826171875,160.0,915.3622436523438,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0662185944815895e-35,9.520842156162105e-41,-0.0,0.0,0.0,0.0,0.0012817789101973176,0.0,0.0036855158396065235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,193.55145263671875,82.38448333740234,-0.0,200.0,200.0,0.0,160.0,160.0,915.3659057617188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,43780.7890625,18635.13671875,-0.0,45239.43359375,45239.43359375,0.0,36191.25390625,36191.546875,207052.34375,387.942626953125,400.0,400.0,329.48223876953125,387.2021789550781,346.9837646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,0.0,226.19715881347656,226.19715881347656,226.19715881347656,400.0,398.3108825683594,384.5976867675781,400.0,400.0,400.0,164.0,170.0,319.0970458984375,250.20263671875,259.43914794921875,0.0,293.38525390625,260.098388671875,200.0,0.0,0.0,0.0,0.0,0.0,0.0,967.8131103515625,412.66241455078125,800.0,1000.0,1000.0,0.0,799.9937133789062,800.0,1859.446044921875,0.0,0.0,0.0,0.0,0.0,0.0,7.083455955125828e-08,9.617070162448726e-08,1.7191586695886052e-12,1.7191586695886052e-12,1.7191586695886052e-12,0.0,0.0062881046906113625,2.1489483369857565e-12,0.006869681645184755,0.0,0.0,0.0,0.0,0.0,0.0,967.8131103515625,412.66241455078125,800.0,1000.0,1000.0,0.0,800.0,800.0,1859.452880859375,0.0,0.0,0.0,0.0,0.0,0.0,218916.578125,93343.0625,180957.734375,226197.15625,226197.15625,0.0,180956.3125,180957.734375,420601.40625,1987.942626953125,2000.0,2000.0,1929.482177734375,1987.2021484375,1946.9837646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7639.9150390625,0.013157953508198261,7639.92822265625,1728127.125,11851.6103515625
